Country,StockCode,ProductName,Growth_Rate
Country,StockCode,ProductName,Growth_Rate
Netherlands,22567,"20 DOLLY PEGS RETROSPOT",260.772857691815
"United Kingdom",85036B,"CHOCOLATE 1 WICK MORRIS BOX CANDLE",255.808416785885
Japan,23176,"ABC TREASURE BOOK BOX",134.5
Australia,22150,"3 STRIPEY MICE FELTCRAFT",124.731958762887
Netherlands,22315,"200 RED + WHITE BENDY STRAWS",123.565217391304
"United Kingdom",72807C,"SET/3 VANILLA SCENTED CANDLE IN BOX",119.0
"United Kingdom",23084,"website fixed",109.0
"United Kingdom",47566B,"incorrectly credited C550456 see 47",107.333333333333
"United Kingdom",20761,"BLUE PAISLEY SKETCHBOOK",107.0
"United Kingdom",84990,"60 GOLD AND SILVER FAIRY CAKE CASES",104.0
"United Kingdom",21155,"RED RETROSPOT PEG BAG",99.0
"United Kingdom",23245,"SET OF 3 REGENCY CAKE TINS",95.2256944444444
"United Kingdom",22717,"CARD DOG AND BALL",93.6666666666667
"United Kingdom",22423,"REGENCY CAKESTAND 3 TIER",85.663475203976
"United Kingdom",22467,"wrongly sold (22719) barcode",84.0
"United Kingdom",82600,"N0 SINGING METAL SIGN",79.1
"United Kingdom",21078,"SET/20 STRAWBERRY PAPER NAPKINS",71.0
Spain,22960,"JAM MAKING SET WITH JARS",60.3636363636364
"United Kingdom",22672,"FRENCH BATHROOM SIGN BLUE METAL",59.3625
"United Kingdom",23073,"GEORGIAN TRINKET BOX",56.640350877193
"United Kingdom",23286,"BLUE VINTAGE SPOT BEAKER",54.5471981640958
"United Kingdom",37446,"MINI CAKE STAND WITH HANGING CAKES",54.5
"United Kingdom",22514,"CHILDS GARDEN SPADE BLUE",53.0046296296296
"United Kingdom",84792,"ENCHANTED BIRD COATHANGER 5 HOOK",50.8153348214286
"United Kingdom",23008,"DOLLY GIRL BABY GIFT SET",48.3532143254365
EIRE,22847,"BREAD BIN DINER STYLE IVORY",47.6873920552677
"United Kingdom",23240,"SET OF 4 KNICK KNACK TINS DOILY",47.25
"United Kingdom",23081,"GREEN METAL BOX ARMY SUPPLIES",45.5971083812255
"United Kingdom",22357,"KINGS CHOICE BISCUIT TIN",45.0
EIRE,21888,"BINGO SET",44.3737828126672
"United Kingdom",22815,"CARD PSYCHEDELIC APPLES",41.0
"United Kingdom",22970,"LONDON BUS COFFEE MUG",39.37050735194
"United Kingdom",22187,"GREEN CHRISTMAS TREE CARD HOLDER",39.0
"United Kingdom",21793,"CLASSIC FRENCH STYLE BASKET BROWN",37.9513485367386
"United Kingdom",22920,"HERB MARKER BASIL",36.425
"United Kingdom",M,Manual,36.271620733624
"United Kingdom",23298,"BUNTING , SPOTTY ",36.0751349339289
"United Kingdom",21065,"BOOM BOX SPEAKER GIRLS",36.0
"United Kingdom",85135C,found,35.0
Germany,22636,"CHILDS BREAKFAST SET CIRCUS PARADE",34.5
"United Kingdom",84997B,"CHILDRENS CUTLERY RETROSPOT RED",33.4587238009402
"United Kingdom",23155,"KNICKERBOCKERGLORY MAGNET ASSORTED",33.0
"United Kingdom",22968,"ROSE COTTAGE KEEPSAKE BOX",32.3333333333333
"United Kingdom",23203,"JUMBO BAG VINTAGE DOILY",32.2231060606061
Germany,POST,POSTAGE,31.1229781009973
"United Kingdom",21530,"DAIRY MAID TOASTRACK",31.0
"United Kingdom",85135B,"BLUE DRAGONFLY HELICOPTER",30.9549887032384
"United Kingdom",84313C,"ORANGE TV TRAY TABLE",30.0
"United Kingdom",23343,"came coded as 20713",30.0
"United Kingdom",82011A,"BATHROOM SCALES, TROPICAL BEACH",29.9434234234234
"United Kingdom",16219,"HOUSE SHAPE PENCIL SHARPENER",29.0
"United Kingdom",21397,"BLUE POLKADOT EGG CUP",28.8571428571429
"United Kingdom",22988,"SOLDIERS EGG CUP",28.4583333333333
"United Kingdom",85132C,"CHARLIE AND LOLA FIGURES TINS",27.3695707070707
